aX,aY,aZ,gX,gY,gZ
-0.885,-0.447,2.466,45.105,83.252,-14.282
-0.612,-0.515,2.608,-73.853,160.339,-59.753
0.396,0.282,1.613,-72.266,66.406,-52.734
0.425,0.302,0.964,12.268,-100.830,8.789
0.275,0.064,0.858,23.560,-102.478,35.034
0.015,-0.177,0.785,18.555,-71.655,46.570
-0.056,-0.234,0.811,20.691,-46.631,35.583
-0.149,-0.316,0.878,17.578,-33.875,29.297
-0.165,-0.336,0.893,7.141,-8.423,16.846
-0.122,-0.309,0.903,1.404,1.404,10.193
-0.073,-0.268,0.911,-5.127,12.390,1.404
0.009,-0.205,0.952,-4.150,13.428,1.221
0.020,-0.199,0.970,-0.793,9.766,5.249
-0.010,-0.222,0.970,-0.671,6.226,6.836
-0.033,-0.236,0.965,-2.014,-1.709,7.751
-0.084,-0.253,0.968,-2.686,-6.226,7.935
-0.105,-0.258,0.965,-5.615,-10.193,7.812
-0.118,-0.258,0.946,-6.226,-8.423,6.897
-0.109,-0.258,0.940,-0.183,-4.333,3.235
-0.074,-0.256,0.952,4.333,-3.418,1.648
-0.064,-0.249,0.984,9.460,-2.197,0.732
-0.061,-0.248,0.994,9.583,-1.038,0.671
-0.050,-0.235,0.984,4.456,2.258,1.465
-0.049,-0.226,0.968,1.160,2.502,2.563
-0.053,-0.217,0.947,0.061,-0.488,3.723
-0.055,-0.216,0.955,3.662,-1.709,1.831
-0.057,-0.213,0.991,3.967,-0.549,0.793
-0.057,-0.211,1.004,1.709,2.625,1.221
-0.057,-0.210,1.002,0.122,2.808,2.258
-0.061,-0.211,0.989,-1.282,1.831,3.296
-0.066,-0.213,0.959,-3.174,0.610,3.601
-0.063,-0.210,0.952,-3.296,1.160,2.563
-0.056,-0.201,0.965,-1.343,2.869,0.122
-0.055,-0.194,0.979,0.305,4.639,-0.305
-0.037,-0.206,0.996,-0.916,2.808,-0.671
-0.048,-0.201,0.989,-2.319,-0.427,-0.610
-0.045,-0.201,0.969,0.000,3.113,3.235
