aX,aY,aZ,gX,gY,gZ
-0.797,0.843,1.172,-28.015,-5.005,17.944
-0.840,0.913,1.169,-23.499,-31.616,1.770
-0.864,0.996,1.146,-21.667,-35.950,-5.310
-0.818,1.123,1.139,-22.095,-30.457,-10.437
-0.808,1.183,1.100,-22.766,-29.480,-8.850
-0.803,1.272,0.949,-22.156,-34.119,-4.578
-0.807,1.235,0.825,-17.395,-39.124,-3.967
-0.875,0.951,0.534,14.709,-70.923,-18.066
-0.872,0.740,0.410,41.809,-96.680,-38.208
-0.673,0.300,0.309,94.360,-109.985,-68.542
-0.481,0.116,0.408,90.637,-35.706,-31.982
-0.000,-0.560,0.805,65.430,17.151,7.019
0.174,-0.867,1.001,12.024,71.655,49.194
0.155,-1.122,1.054,10.437,32.532,30.884
0.003,-1.164,0.832,74.402,-103.882,-60.425
-0.190,-1.127,0.414,115.784,-126.648,-93.384
-0.050,-1.175,0.477,126.282,20.325,-83.252
0.711,-1.209,0.937,78.918,126.831,-62.988
1.168,-1.042,1.132,-14.709,155.212,-31.311
1.249,-0.791,0.848,-2.686,69.092,-15.991
0.770,-0.837,0.456,143.250,-132.751,-11.536
-0.133,-1.147,0.192,212.341,-155.457,-20.691
0.037,-1.043,1.193,226.379,4.089,-56.885
0.478,-0.667,1.957,191.101,102.051,-84.717
1.194,0.173,2.712,87.708,121.704,-88.623
1.151,0.298,2.355,-39.612,-32.532,30.884
0.260,-0.178,0.935,-79.041,-91.553,96.680
-0.211,-0.481,0.387,-80.322,-93.628,123.047
-0.540,-0.732,0.182,-60.730,-54.871,93.018
-0.463,-0.744,0.348,-30.884,21.423,31.677
-0.268,-0.693,0.794,-22.095,34.729,15.259
-0.222,-0.636,0.985,-17.273,22.217,12.878
-0.264,-0.622,1.222,-20.508,12.573,19.165
-0.285,-0.683,1.246,-33.508,8.057,22.827
-0.199,-0.746,1.304,-40.894,4.700,20.752
-0.140,-0.750,1.304,-60.547,16.113,24.170
-0.088,-0.773,1.190,-71.289,28.625,30.334
