timestamp,SBN,CN,x,y,z,T
2017-02-10-14-01-26,01,01,50676,4294962657,4758,46040
2017-02-10-14-01-26,01,02,72865,9662,12853,46062
2017-02-10-14-01-26,01,03,45793,4294958676,19569,46033
2017-02-10-14-01-26,01,04,66882,4547,10579,46030
2017-02-10-14-01-26,01,05,46502,4294966392,10492,46014
2017-02-10-14-01-26,01,06,57002,4294966860,14522,45993
2017-02-10-14-01-26,01,07,64259,4294957278,17684,46058
2017-02-10-14-01-26,01,08,54594,4294955950,16554,46042
2017-02-10-14-01-26,01,09,44958,3332,11347,46110
2017-02-10-14-01-26,01,10,52403,4294954555,12403,46069
2017-02-10-14-01-26,01,11,55651,4294966582,11381,46061
2017-02-10-14-01-26,01,12,51575,4294964648,15273,46078
2017-02-10-14-01-26,01,13,49821,4294951980,14215,46003
2017-02-10-14-01-26,01,14,43039,4294940437,20270,46043
2017-02-10-14-01-26,01,15,41783,15499,7402,46035
2017-02-10-14-01-26,01,16,44537,4294957867,16982,46055
2017-02-10-14-01-26,02,01,60823,4294961942,17888,46065
2017-02-10-14-01-26,02,02,56075,4294961302,10824,46106
2017-02-10-14-01-26,02,03,47182,4294960036,13704,46017
2017-02-10-14-01-26,02,04,78318,6508,14648,46002
2017-02-10-14-01-26,02,05,51608,14296,20670,45991
2017-02-10-14-01-26,02,06,71903,31565,2601,45987
2017-02-10-14-01-26,02,07,57635,4294962955,16864,46088
2017-02-10-14-01-26,02,08,46465,4294962013,20341,46047
2017-02-10-14-01-26,02,09,51397,2687,9544,46030
2017-02-10-14-01-26,02,10,68245,4294959372,19421,46038
2017-02-10-14-01-26,02,11,43856,4294961274,1440,46057
2017-02-10-14-01-26,02,12,71736,4294962500,14450,45999
2017-02-10-14-01-26,02,13,55277,4294966334,14809,46088
2017-02-10-14-01-26,02,14,46986,4294956523,18321,46039
2017-02-10-14-01-26,02,15,40481,4294964505,14498,46048
2017-02-10-14-01-26,02,16,46025,5857,6558,46104
2017-02-10-14-01-26,03,01,53396,4294952730,20139,46064
2017-02-10-14-01-26,03,02,72032,4294963494,13302,46036
2017-02-10-14-01-26,03,03,65928,643,16735,46092
2017-02-10-14-01-26,03,04,61030,4294966858,9385,46063
2017-02-10-14-01-26,03,05,71262,4294966099,24435,45972
2017-02-10-14-01-26,03,06,62192,4294963450,9866,46041
2017-02-10-14-01-26,03,07,73806,4294953501,18661,46049
2017-02-10-14-01-26,03,08,79299,4294953271,19086,46066
2017-02-10-14-01-26,03,09,63589,4294958346,15475,46074
2017-02-10-14-01-26,03,10,73877,4294951602,15504,46085
2017-02-10-14-01-26,03,11,54967,2514,16950,46125
2017-02-10-14-01-26,03,12,62126,19542,11265,46100
2017-02-10-14-01-26,03,13,57210,4294945743,14924,46058
2017-02-10-14-01-26,03,14,57494,4294954744,20669,46064
2017-02-10-14-01-26,03,15,49197,574,12460,46022
2017-02-10-14-01-26,03,16,59030,4294955525,11071,46068
2017-02-10-14-01-26,04,01,66338,6349,18894,46105
2017-02-10-14-01-26,04,02,54725,4703,10629,46093
2017-02-10-14-01-26,04,03,66458,15428,6722,46078
2017-02-10-14-01-26,04,04,60972,1053,20436,46017
2017-02-10-14-01-26,04,05,54212,9187,4625,45974
2017-02-10-14-01-26,04,06,65396,4294966731,24997,46131
2017-02-10-14-01-26,04,07,63967,4294949582,26851,46158
2017-02-10-14-01-26,04,08,73357,4294950828,20441,46052
2017-02-10-14-01-26,04,09,62644,4294966358,13139,46041
2017-02-10-14-01-26,04,10,54351,4294966588,16639,46146
2017-02-10-14-01-26,04,11,68856,4879,11660,46064
2017-02-10-14-01-26,04,12,51815,4294946445,15045,46100
2017-02-10-14-01-26,04,13,59712,7064,17068,46133
2017-02-10-14-01-26,04,14,73776,486,17048,46021
2017-02-10-14-01-26,04,15,55199,4294958033,14394,45969
2017-02-10-14-01-26,04,16,67286,4294957146,9961,45991
2017-02-10-14-01-26,05,01,55081,4294953748,11337,46034
2017-02-10-14-01-26,05,02,69123,10882,12478,46061
2017-02-10-14-01-26,05,03,67468,1602,11289,46049
2017-02-10-14-01-26,05,04,73370,4294943189,28772,46029
2017-02-10-14-01-26,05,05,66420,5119,7407,46054
2017-02-10-14-01-26,05,06,64724,4294959106,14609,46063
2017-02-10-14-01-26,05,07,61485,4294947672,20039,46041
2017-02-10-14-01-26,05,08,51840,3573,12712,46049
2017-02-10-14-01-26,05,09,73285,1652,20176,46051
2017-02-10-14-01-26,05,10,56091,4294965063,14614,45115
2017-02-10-14-01-26,05,11,66740,4294947798,20374,46054
2017-02-10-14-01-26,05,12,67624,4294954172,14775,46023
2017-02-10-14-01-26,05,13,31260,3323,11846,46038
2017-02-10-14-01-26,05,14,58351,4294957444,14107,46061
2017-02-10-14-01-26,05,15,47900,4294947081,15559,46027
